title,average_rating,rating_count,scaled_rating
10 Things I Hate About You (1999),3.5277777777777777,54,0.5943036316599535
12 Angry Men (1957),4.149122807017544,57,0.8740029547652053
2001: A Space Odyssey (1968),3.8944954128440368,109,0.7593820815902437
28 Days Later (2002),3.9741379310344827,58,0.7952332711547931
300 (2007),3.68125,80,0.6633893644669506
"40-Year-Old Virgin, The (2005)",3.5472972972972974,74,0.6030903703317496
A.I. Artificial Intelligence (2001),3.3392857142857144,56,0.5094536689364277
"Abyss, The (1989)",3.475806451612903,62,0.5709086674047741
Ace Ventura: Pet Detective (1994),3.040372670807453,161,0.37489754956021804
Ace Ventura: When Nature Calls (1995),2.727272727272727,88,0.2339551775288451
Addams Family Values (1993),3.1011904761904763,84,0.4022747686540791
Air Force One (1997),3.3448275862068964,58,0.5119483502361029
Airplane! (1980),3.8563218390804597,87,0.742198194635769
Aladdin (1992),3.7923497267759565,183,0.7134010599245197
Alien (1979),3.969178082191781,146,0.7930005883477778
Aliens (1986),3.9642857142857144,126,0.7907982821775927
Almost Famous (2000),3.8674698795180724,83,0.7472165004362763
Amadeus (1984),4.184210526315789,76,0.8897977400699724
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.183333333333334,120,0.8894028704373533
American Beauty (1999),4.056372549019608,204,0.8322512980220893
American History X (1998),4.217054263565892,129,0.9045823937564117
American Pie (1999),3.378640776699029,103,0.527169404638437
"American President, The (1995)",3.6714285714285713,70,0.6589682348303039
American Psycho (2000),3.788135593220339,59,0.7115040618839568
Anchorman: The Legend of Ron Burgundy (2004),3.7719298245614037,57,0.7042090127389584
Animal House (1978),3.693548387096774,62,0.6689255004049219
Annie Hall (1977),3.8706896551724137,58,0.7486658868941864
Apocalypse Now (1979),4.219626168224299,107,0.9057401401906722
Apollo 13 (1995),3.845771144278607,201,0.7374487847982445
Arachnophobia (1990),2.811320754716981,53,0.2717895131688235
Armageddon (1998),3.0543478260869565,92,0.38118848501157343
Army of Darkness (1993),4.03921568627451,51,0.824528112560567
As Good as It Gets (1997),3.6979166666666665,96,0.6708918874867151
Austin Powers in Goldmember (2002),2.8461538461538463,65,0.28746967739010176
Austin Powers: International Man of Mystery (1997),3.535,100,0.5975547249685182
Austin Powers: The Spy Who Shagged Me (1999),3.1983471074380163,121,0.44600996040152485
Avatar (2009),3.6030927835051547,97,0.6282067855121536
"Avengers, The (2012)",3.869565217391304,69,0.7481597196739624
Babe (1995),3.65234375,128,0.6503771761045469
Back to the Future (1985),4.038011695906433,171,0.8239861346334427
Back to the Future Part II (1989),3.5057471264367814,87,0.5843865035303799
Back to the Future Part III (1990),3.3693181818181817,88,0.5229728256765873
Bad Boys (1995),3.2450980392156863,51,0.46705495691296917
Batman (1989),3.4285714285714284,189,0.5496457565423083
Batman Begins (2005),3.8620689655172415,116,0.7447852715391361
Batman Forever (1995),2.9160583941605838,137,0.3189373062265082
Batman Returns (1992),3.025,60,0.36797752056372746
"Beautiful Mind, A (2001)",4.0,123,0.8068751172199449
Beauty and the Beast (1991),3.7705479452054793,146,0.7035869578382568
Beetlejuice (1988),3.4725274725274726,91,0.5694326304405881
Being John Malkovich (1999),3.9545454545454546,99,0.7864136908024055
Best in Show (2000),3.688679245283019,53,0.6667336494922702
